id,code,type,volatility,threshold,absolute_threshold,policy_min_threshold,history_and_avg_absdelta,impact_score,missed_flag_sample,false_flag_sample,created_at,updated_at,special_term,mad,k_val,category
42,60010 salaries & wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
43,60011-000 salaries and wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
44,6002 salaries & wages,opex,fixed,"[{""company"":{""id"":290236,""name"":""Simple Phone Company""},""thresholds"":[{""value"":0.15,""flagrate"":0.29,""confidence"":0,""created_on"":""2026-06-03T15:19:19Z"",""closing_month"":""12-2025""},{""value"":0.15,""flagrate"":0.29,""confidence"":0,""created_on"":""2026-06-03T15:21:37Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":290236,""name"":""Simple Phone Company""},""history"":[{""01-2025"":8897.08},{""03-2025"":8192.63},{""05-2025"":8632.82},{""06-2025"":8493.59},{""07-2025"":9464.59},{""11-2025"":7520.16},{""12-2025"":8209.84},{""02-2025"":7634.84},{""04-2025"":8686.03},{""08-2025"":8229.74},{""09-2025"":8666.9},{""10-2025"":9063.91},{""03-2026"":8683.24},{""01-2026"":9860.29},{""02-2026"":6888.54}],""avg_absdelta"":0.12,""coefficient_of_variation"":0.72}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
45,60020 wages,opex,fixed,"[{""company"":{""id"":279087,""name"":""Summit Strategy""},""thresholds"":[{""value"":0.15,""flagrate"":0.31,""confidence"":0,""created_on"":""2026-06-03T15:24:29Z"",""closing_month"":""02-2026""},{""value"":0.15,""flagrate"":0.31,""confidence"":0,""created_on"":""2026-06-04T10:59:47Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":279087,""name"":""Summit Strategy""},""history"":[{""01-2026"":24096.35},{""02-2026"":14389.22},{""06-2025"":19384.62},{""07-2025"":18876.92},{""09-2025"":22124.9},{""11-2025"":18345.82},{""12-2025"":21481.97},{""01-2025"":24069.23},{""02-2025"":19384.62},{""03-2025"":19384.61},{""05-2025"":20307.69},{""08-2025"":20642.3},{""10-2025"":22442.1},{""04-2025"":20307.7}],""avg_absdelta"":0.11,""coefficient_of_variation"":1.02}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
46,6003 indirect salaries & wages,opex,fixed,"[{""company"":{""id"":290228,""name"":""FORMM""},""thresholds"":[{""value"":0.15,""flagrate"":0.79,""confidence"":0,""created_on"":""2026-06-03T14:58:57Z"",""closing_month"":""03-2026""},{""value"":0.19,""flagrate"":0.36,""confidence"":0,""created_on"":""2026-06-04T12:33:42Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":290228,""name"":""FORMM""},""history"":[{""01-2026"":27031.63},{""02-2026"":21431.02},{""03-2026"":26023.22},{""07-2025"":25370.19},{""09-2025"":24715.72},{""10-2025"":30897.31},{""12-2025"":32402.51},{""01-2025"":17010.79},{""04-2025"":22282.3},{""05-2025"":20619.8},{""08-2025"":21411.05},{""11-2025"":38662.77},{""02-2025"":19815.35},{""03-2025"":18728.33},{""06-2025"":27975.14}],""avg_absdelta"":0.18,""coefficient_of_variation"":0.42}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
47,6021 employee pr - wages,opex,fixed,"[{""company"":{""id"":511616,""name"":""Kahn Media, Inc.""},""thresholds"":[{""value"":0.15,""flagrate"":1,""confidence"":0,""created_on"":""2026-06-03T15:00:28Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":511616,""name"":""Kahn Media, Inc.""},""history"":[{""02-2026"":60750.05},{""03-2026"":78931.07},{""10-2025"":286590.37},{""11-2025"":197866.39},{""12-2025"":138995.19},{""01-2026"":72961.55}],""avg_absdelta"":0.31,""coefficient_of_variation"":0.32}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
48,6021 employee wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
49,6022 wages,opex,fixed,"[{""company"":{""id"":290243,""name"":""Choice Builder Solutions - Online Sales""},""thresholds"":[{""value"":0.39,""flagrate"":0.33,""confidence"":0,""created_on"":""2026-06-03T14:51:22Z"",""closing_month"":""12-2023""}]}]",,0.150,"[{""company"":{""id"":290243,""name"":""Choice Builder Solutions - Online Sales""},""history"":[{""08-2023"":15088.29},{""09-2023"":12718.34},{""12-2023"":4683.69},{""04-2023"":12348.8},{""10-2023"":10780.68},{""11-2023"":9979.17},{""03-2023"":6938.89},{""05-2023"":8799.3},{""06-2023"":8676.23},{""07-2023"":8353.58}],""avg_absdelta"":0.32,""coefficient_of_variation"":0.93}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
50,6030 wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
51,6100 indirect salaries & benefits,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
